Changes,General Category
Tailer erroneously considers file as new. Fix to use file.lastModified() rather than System.currentTimeMillis(). Fixes IO-279.,Bug fix
CharSequenceInputStream#reset() behaves incorrectly in case when buffer size is not dividable by data size. Fix code so skip relates to the encoded bytes; reset now re-encodes the data up to the point of the mark. Fixes IO-356.,Bug fix
CharSequenceInputStream - add tests for available() Fix code so it really does reflect a minimum available. Fixes IO-379.,Quality assurance
getPrefixLength returns null if filename has leading slashes Javadoc: add examples to show correct behavior; add unit tests. Fixes IO-328.,Documentation
FileUtils.listFilesAndDirs includes original dir in results even when it doesn't match filter Javadoc: clarify that original dir is included in the results. Fixes IO-299.,Documentation
Add ByteArrayOutputStream.toInputStream(). Fixes IO-346.,Add support for a new feature
ClassLoaderObjectInputStream does not handle primitive typed members. Fixes IO-368.,Bug fix
A constant for holding the BOM character (U+FEFF). Fixes IO-341.,Add support for a new feature
Deprecate all methods that use the default encoding. Fixes IO-314.,Deprecate functionality
"When a file is rotated, finish reading previous file prior to starting new one. Fixes IO-338.",Bug fix
Commons IO Tailer does not respect UTF-8 Charset. Fixes IO-354.,Bug fix
What should happen in FileUtils.sizeOf[Directory] when an overflow takes place? Added Javadoc. Fixes IO-323.,Documentation
FileUtils.moveDirectory can produce misleading error message on failure. Fixes IO-372.,Maintainability improvement
FilenameUtils.splitOnTokens(String text) check for '**' could be simplified. Fixes IO-375.,Maintainability improvement
WildcardFileFilter ctors should not use null to mean IOCase.SENSITIVE when delegating to other ctors. Fixes IO-374.,Bug fix
"IOUtils.contentEquals* methods returns false if input1 == input2, should return true. Fixes IO-362. Thanks to mmadson, ggregory.",Bug fix
Add API FileUtils.forceMkdirsParent(). Fixes IO-361.,Add support for a new feature
Add API Charsets.requiredCharsets(). Fixes IO-360.,Add support for a new feature
"Add IOUtils.skip and skipFully(ReadableByteChannel, long). Fixes IO-359. Thanks to yukoba.",Add support for a new feature
"Add IOUtils.read and readFully(ReadableByteChannel, ByteBuffer buffer). Fixes IO-358. Thanks to yukoba.",Add support for a new feature
[Tailer] InterruptedException while the thread is sleeping is silently ignored. Fixes IO-357. Thanks to mortenh.,Bug fix
"Add API IOUtils.copy(InputStream, OutputStream, int). Fixes IO-353. Thanks to ggregory.",Add support for a new feature
Add API with array offset and length argument to FileUtils.writeByteArrayToFile. Fixes IO-349. Thanks to scop.,Add support for a new feature
Spelling fixes. Fixes IO-352. Thanks to scop.,Maintainability improvement
Missing information in IllegalArgumentException thrown by org.apache.commons.io.FileUtils#validateListFilesParameters. Fixes IO-348. Thanks to plcstpierre.,Maintainability improvement
Supply a hook method allowing Tailer actively determining stop condition. Fixes IO-345. Thanks to mkresse.,Add support for a new feature
Improper Javadoc comment for FilenameUtils.indexOfExtension. Fixes IO-436. Thanks to christoph.schneegans.,Documentation
Make IOUtils.EOF public and reuse it in various classes. Fixes IO-437.,Code redesign
,
org.apache.commons.io.comparator Javadoc is inconsistent with real code. Fixes IO-343. Thanks to igorlash.,Documentation
Yottabyte (YB) incorrectly defined in FileUtils. Fixes IO-336. Thanks to rleavelle.,Bug fix
Tailer locks file from deletion/rename on Windows. Fixes IO-269. Thanks to sebb.,Bug fix
"Tailer erroneously considers file as new. Fixes IO-279. Thanks to Sergio Bossa, Chris Baron.",Bug fix
Tailer#readLines - incorrect CR handling. Fixes IO-335.,Bug fix
FileUtils.toURLs throws NPE for null parameter; document the behavior. Fixes IO-334.,Documentation
Export OSGi packages at version 1.x in addition to 2.x. Fixes IO-333. Thanks to fmeschbe.,Code redesign
Add XmlStreamReader support for UTF-32. Fixes IO-320. Thanks to ggregory.,Add support for a new feature
BOMInputStream wrongly detects UTF-32LE_BOM files as UTF-16LE_BOM files in method getBOM(). Fixes IO-331. Thanks to ggregory.,Bug fix
Improve tailer's reading performance. Fixes IO-332. Thanks to liangly.,Performance improvement
Improve Tailer performance with buffered reads (see IO-332). Fixes IO-279.,Performance improvement
FileUtils.writeLines uses unbuffered IO. Fixes IO-329. Thanks to tivv.,Performance improvement
Add byteCountToDisplaySize(BigInteger). Fixes IO-327. Thanks to ggregory.,Add support for a new feature
"Add new FileUtils.sizeOf[Directory] APIs to return BigInteger. Fixes IO-326. Thanks to ggregory, kinow.",Add support for a new feature
Add IOUtils.toByteArray methods to work with URL and URI. Fixes IO-325. Thanks to raviprak.,Add support for a new feature
Add missing Charset sister APIs to method that take a String charset name. Fixes IO-324. Thanks to raviprak.,Add support for a new feature
FileUtils.sizeOfDirectory follows symbolic links. Fixes IO-319. Thanks to raviprak.,Bug fix
,
Add and use class Charsets. Fixes IO-322. Thanks to ggregory.,Add support for a new feature
ByteOrderMark UTF_32LE is incorrect. Fixes IO-321. Thanks to ggregory.,Bug fix
Add Charset sister APIs to method that take a String charset name. Fixes IO-318. Thanks to ggregory.,Add support for a new feature
,
Add IOUtils.toBufferedReader(Reader). Fixes IO-313. Thanks to ggregory.,Add support for a new feature
Allow applications to provide buffer (or size) for copyLarge methods. Fixes IO-308. Thanks to Manoj Mokashi.,Add support for a new feature
IOUtils.read(InputStream/Reader) ignores the offset parameter. Fixes IO-311. Thanks to Robert Muir.,Bug fix
"CharSequenceInputStream(CharSequence s, Charset charset, int bufferSize) ignores bufferSize. Fixes IO-312.",Bug fix
"New copyLarge() method in IOUtils that takes additional offset, length arguments. Fixes IO-305. Thanks to Manoj Mokashi.",Add support for a new feature
FileUtils.moveDirectoryToDirectory removes source directory if destination is a sub-directory. Fixes IO-300.,Bug fix
"ReaderInputStream#read(byte[] b, int off, int len) should check for valid parameters. Fixes IO-307.",Bug fix
"Use terabyte (TB), petabyte (PB) and exabyte (EB) in FileUtils.byteCountToDisplaySize(long size). Fixes IO-287. Thanks to Ron Kuris, Gary Gregory.",Add support for a new feature
"ReaderInputStream#read(byte[] b, int off, int len) should always return 0 for length == 0. Fixes IO-306.",Bug fix
FileUtils.listFiles() doesn't return directories. Fixes IO-173. Thanks to Marcos Vinícius da Silva.,Add support for a new feature
"""FileUtils#deleteDirectoryOnExit(File)"" does not work. Fixes IO-276. Thanks to nkami.",Bug fix
BoundedInputStream.read() treats max differently from BoundedInputStream.read(byte[]...). Fixes IO-273. Thanks to sebb.,Bug fix
CharSequenceInputStream to efficiently stream content of a CharSequence. Fixes IO-297. Thanks to Oleg Kalnichevski.,Add support for a new feature
ReaderInputStream optimization: more efficient reading of small chunks of data. Fixes IO-296. Thanks to Oleg Kalnichevski.,Memory improvement
Various methods of class 'org.apache.commons.io.FileUtils' incorrectly suppress 'java.io.IOException'. Fixes IO-298. Thanks to Christian Schulte.,Bug fix
The second constructor of Tailer class does not pass 'delay' to the third one. Fixes IO-304. Thanks to liangly.,Bug fix
TeeOutputStream does not call branch.close() when main.close() throws an exception. Fixes IO-303. Thanks to fabian.barney.,Bug fix
"ArrayIndexOutOfBoundsException in BOMInputStream when reading a file without BOM multiple times. Fixes IO-302. Thanks to jsteuerwald, detinho.",Bug fix
Add IOUtils.closeQuietly(Selector) necessary. Fixes IO-301. Thanks to kaykay.unique.,Add support for a new feature
IOUtils.closeQuietly() should take a ServerSocket as a parameter. Fixes IO-292. Thanks to sebb.,Code redesign
Add read/readFully methods to IOUtils. Fixes IO-290. Thanks to sebb.,Add support for a new feature
Supply a ReversedLinesFileReader. Fixes IO-288. Thanks to Georg Henzler.,Add support for a new feature
Add new function FileUtils.directoryContains. Fixes IO-291. Thanks to ggregory.,Add support for a new feature
"FileUtils.contentEquals and IOUtils.contentEquals - Add option to ignore ""line endings"" Added contentEqualsIgnoreEOL methods to both classes. Fixes IO-275. Thanks to CJ Aspromgos.",Add support for a new feature
,
Use standard Maven directory layout. Fixes IO-285. Thanks to ggregory.,Code redesign
Add IOUtils API toString for URL and URI to get contents. Fixes IO-284. Thanks to ggregory.,Add support for a new feature
"Add API FileUtils.copyFile(File input, OutputStream output). Fixes IO-282. Thanks to ggregory.",Add support for a new feature
Dubious use of mkdirs() return code. Fixes IO-280. Thanks to sebb.,Bug fix
ReaderInputStream enters infinite loop when it encounters an unmappable character. Fixes IO-277.,Bug fix
FileUtils.moveFile() Javadoc should specify FileExistsException thrown. Fixes IO-264.,Documentation
FileAlterationObserver has no getter for FileFilter. Fixes IO-262.,Add support for a new feature
Add FileUtils.getFile API with varargs parameter. Fixes IO-261.,Add support for a new feature
ClassLoaderObjectInputStream does not handle Proxy classes. Fixes IO-260.,Bug fix
FileAlterationMonitor.stop(boolean allowIntervalToFinish). Fixes IO-259.,Add support for a new feature
Add new APPEND parameter for writing string into files. Fixes IO-182.,Add support for a new feature
Tailer returning partial lines when reaching EOF before EOL. Fixes IO-274. Thanks to Frank Grimes.,Bug fix
FileUtils.copyFile() throws IOException when copying large files to a shared directory (on Windows). Fixes IO-266. Thanks to Igor Smereka.,Bug fix
FileSystemUtils.freeSpaceKb throws exception for Windows volumes with no visible files. Improve coverage by also looking for hidden files. Fixes IO-263. Thanks to Gil Adam.,Bug fix
,
IO-256] - Provide thread factory for FileAlternationMonitor,Add support for a new feature
[IO-257] - BOMInputStream.read(byte[]) can return 0 which it should not,Bug fix
*[IO-258] - XmlStreamReader consumes the stream during encoding detection,Bug fix
,
"Deprecations from 1.4
---------------------
- IOUtils
  - write(StringBuffer, Writer) in favour of write(CharSequence, Writer)
  - write(StringBuffer, OutputStream)  in favour of write(CharSequence, OutputStream)
  - write(StringBuffer, OutputStream, String) in favour of write(CharSequence, OutputStream, String",Deprecate functionality
"Deprecations from 1.4

- FileFilterUtils
  - andFileFilter(IOFileFilter, IOFileFilter) in favour of and(IOFileFilter...) 
  - orFileFilter(IOFileFilter, IOFileFilter)  in favour of or(IOFileFilter...)",Deprecate functionality
 Move minimum Java requirement from Java 1.3 to Java 5,Code redesign
* [IO-178] New BOMInputStream and ByteOrderMark implementations - to detect and optionally exclude an initial Byte Order mark (BOM),Add support for a new feature
* [IO-197] New BoundedInputStream (copied from Apache JackRabbit),Add support for a new feature
* [IO-193] New Broken Input and Output streams,Add support for a new feature
* [IO-132] New File Listener/Monitor facility,Add support for a new feature
* [IO-158] New ReaderInputStream and WriterOutputStream implementations,Add support for a new feature
* [IO-139] New StringBuilder Writer implementation,Add support for a new feature
* [IO-192] New Tagged Input and Output streams,Add support for a new feature
"* [IO-177] New Tailer class - simple implementation of the Unix ""tail -f"" functionality",Add support for a new feature
* [IO-162] New XML Stream Reader/Writer implementations (from ROME via plexus-utils),Add support for a new feature
* [IO-142] Comparators - add facility to sort file lists/arrays,Add support for a new feature
* [IO-186] Comparators - new Composite and Directory File Comparator implementations,Add support for a new feature
* [IO-176] DirectoryWalker - add filterDirectoryContents() callback method for filtering directory contents,Add support for a new feature
* [IO-210] FileFilter - new Magic Number FileFilter,Add support for a new feature
* [IO-221] FileFilterUtils - add methods for suffix and prefix filters which take an IOCase object,Add support for a new feature
* [IO-232] FileFilterUtils - add method for name filters which take an IOCase object,Add support for a new feature
* [IO-229] FileFilterUtils - add varargs and() and or() methods,Add support for a new feature
* [IO-198] FileFilterUtils - add ability to apply file filters to collections and arrays,Add support for a new feature
* [IO-156] FilenameUtils - add normalize() and normalizeNoEndSeparator() methods which allow the separator character to be specified,Add support for a new feature
* [IO-194] FileSystemUtils - add freeSpaceKb() method with no input arguments,Add support for a new feature
* [IO-185] FileSystemUtils - add freeSpaceKb() methods that take a timeout parameter - fixes freeSpaceWindows() blocks,Add support for a new feature
* [IO-155] FileUtils - use NIO to copy files,Code redesign
* [IO-168] FileUtils - add new isSymlink() method,Add support for a new feature
* [IO-219] FileUtils - throw FileExistsException when moving a file or directory if the destination already exists,Code redesign
* [IO-234] FileUtils - add Methods for retrieving System User/Temp directories/paths,Add support for a new feature
* [IO-208] FileUtils - add timeout (connection and read) support for copyURLToFile() method,Add support for a new feature
* [IO-238] FileUtils - add sizeOf(File) method,Add support for a new feature
* [IO-181] LineIterator now implements Iterable,Code redesign
* [IO-224] IOUtils - add closeQuietly(Closeable) and closeQuietly(Socket) methods,Add support for a new feature
* [IO-203] IOUtils - add skipFully() method for InputStreams,Add support for a new feature
* [IO-137] IOUtils and ByteArrayOutputStream - add toBufferedInputStream() method to avoid unnecessary array allocation/copy,Add support for a new feature
* [IO-195] Proxy streams/Reader/Writer - provide exception handling methods,Add support for a new feature
* [IO-211] Proxy Input/Output streams - add pre/post processing support,Add support for a new feature
* [IO-242] Proxy Reader/Writer - add pre/post processing support,Add support for a new feature
* [IO-214] ByteArrayOutputStream - fix inconsistent synchronization of fields,Bug fix
* [IO-201] Counting Input/Output streams - fix inconsistent synchronization,Bug fix
* [IO-159] FileCleaningTracker - fix remove() never returns null,Bug fix
* [IO-220] FileCleaningTracker - fix Vector performs badly under load,Bug fix
* [IO-167] FilenameUtils - fix case-insensitive string handling in FilenameUtils and FilesystemUtils,Bug fix
* [IO-179] FilenameUtils - fix StringIndexOutOfBounds exception in getPathNoEndSeparator(),Bug fix
* [IO-248] FilenameUtils - fix getFullPathNoEndSeparator() returns empty while path is a one level directory,Bug fix
* [IO-246] FilenameUtils - fix wildcardMatch gives incorrect results,Bug fix
* [IO-187] FileSystemUtils - fix freeSpaceKb() doesn't work with relative paths on Linux,Bug fix
* [IO-160] FileSystemUtils - fix freeSpace() fails on solaris,Bug fix
* [IO-209] FileSystemUtils - fix freeSpaceKb() fails to return correct size for a windows mount point,Bug fix
* [IO-163] FileUtils - fix toURLs() using deprecated method of conversion to URL,Bug fix
* [IO-168] FileUtils - fix Symbolic links followed when deleting directory,Bug fix
* [IO-231] FileUtils - fix wrong exception message generated in isFileNewer() method,Bug fix
* [IO-207] FileUtils - fix race condition in forceMkdir() method,Bug fix
* [IO-217] FileUtils - fix copyDirectoryToDirectory() makes infinite loops,Bug fix
* [IO-166] FileUtils - fix URL decoding in toFile(URL),Bug fix
* [IO-190] FileUtils - fix copyDirectory not preserving lastmodified date on subdirectories,Bug fix
* [IO-240] FileFilterUtils - ensure cvsFilter and svnFilter are only created once.,Bug fix
* [IO-175] IOUtils - fix copyFile() issues with very large files,Bug fix
* [IO-191] Improvements from static analysis,Maintainability improvement
* [IO-216] LockableFileWriter - delete files quietly when an exception is thrown during initialization,Bug fix
* [IO-243] SwappedDataInputStream - fix readBoolean is inverted,Bug fix
* [IO-235] Tests - remove unused YellOnFlushAndCloseOutputStream from CopyUtilsTest,Maintainability improvement
* [IO-161] Tests - fix FileCleaningTrackerTestCase hanging,Bug fix
* [IO-183 FilenameUtils.getExtension() method documentation improvements,Documentation
* [IO-226 FileUtils.byteCountToDisplaySize() documentation corrections,Documentation
* [IO-205 FileUtils.forceMkdir() documentation improvements,Documentation
* [IO-215 FileUtils copy file/directory improve documentation regarding preserving the last modified date,Documentation
* [IO-189 HexDump.dump() method documentation improvements,Documentation
* [IO-171 IOCase document that it assumes there are only two OSes: Windows and Unix,Documentation
* [IO-223 IOUtils.copy() documentation corrections,Documentation
* [IO-247 IOUtils.closeQuietly() improve documentation with examples,Documentation
* [IO-202 NotFileFilter documentation corrections,Documentation
* [IO-206 ProxyInputStream - fix misleading parameter names,Maintainability improvement
* [IO-212 ProxyInputStream.skip() documentation corrections,Documentation
,
"Deprecations from 1.3.2
-----------------------
- FileCleaner deprecated in favour of FileCleaningTracker [see IO-116]",Deprecate functionality
- forceDelete of orphaned Softlinks does not work [IO-147],Bug fix
- Infinite loop on FileUtils.copyDirectory when the destination directory is within,Bug fix
- Add a copyDirectory() method that makes use of FileFilter [IO-105],Add support for a new feature
- Add moveDirectory() and moveFile() methods [IO-77],Add support for a new feature
 HexDump's use of static StringBuffers isn't thread-safe [IO-136],Bug fix
- Add a deleteQuietly method [IO-135],Add support for a new feature
- Add file name extension separator constants[IO-149],Add support for a new feature
- Add a new IOException implementation with constructors which take a cause,Add support for a new feature
- Add new Tee input stream implementation,Add support for a new feature
- Add new File Writer implementation that accepts an encoding,Add support for a new feature
"- Add new Reader implementation that handles any CharSequence (String,StringBuffer, StringBuilder or CharBuffer)",Add support for a new feature
- Add a reset() method which sets the count of the bytes written back to zero.,Add support for a new feature
- Add support for temporary files,Add support for a new feature
- Add a new write(InputStream) method [IO-152],Add support for a new feature
"- New Closed Input/Output stream implementations [IO-122], - AutoCloseInputStream - automatically closes and discards the underlying input stream
- ClosedInputStream - returns -1 for any read attempts
- ClosedOutputStream - throws an IOException for any write attempts
- CloseShieldInputStream - prevents the underlying input stream from being closed.
- CloseShieldOutputStream - prevents the underlying output stream from being closed.",Add support for a new feature
- Add Singleton Constants to several stream classes [IO-143],Add support for a new feature
- Add facility to specify case sensitivity on prefix matching,Add support for a new feature
- Add facility to specify case sensitivity on suffix matching,Add support for a new feature
- Add new regular expression file filter implementation,Add support for a new feature
- Make IOFileFilter implementations Serializable [IO-131],Code redesign
- Improve IOFileFilter toString() methods [IO-120],Maintainability improvement
"- Make fields final so classes are immutable/threadsafe [IO-133] - changes to Age, Delegate, Name, Not, Prefix, Regex, Size, Suffix and Wildcard IOFileFilter implementations.",Maintainability improvement
- Add a compare method to IOCase [IO-144],Add support for a new feature
"- Add a package of java.util.Comparator implementations for files [IO-145] - DefaultFileComparator - compare files using the default File.compareTo(File) method.
- ExtensionFileComparator - compares files using file name extensions.
- LastModifiedFileComparator - compares files using the last modified date/time.
- NameFileComparator - compares files using file names.
- PathFileComparator - compares files using file paths.
- SizeFileComparator - compares files using file sizes.",Add support for a new feature
,
"- Created the FileCleaningTracker, basically a non-static version of the FileCleaner, which can be controlled by the user. [IO-116]",Add support for a new feature
- The FileCleaner is deprecated.,Deprecate functionality
"- Some tests, which are implicitly assuming a Unix-like file system, are now skipped on Windows. [IO-115]",Bug fix
- EndianUtils - Both readSwappedUnsignedInteger(...) methods could return negative numbers due to int/long casting. [IO-117],Bug fix
,
- FileUtils  NPE in openOutputStream(File) when file has no parent in path [IO-112],Bug fix
- readFileToString(File) is not static [IO-113],Bug fix
,
"WildcardFilter deprecated, replaced by WildcardFileFilter",Deprecate functionality
"ileSystemUtils.freeSpace deprecated, replaced by freeSpaceKb",Deprecate functionality
LineIterator now implements Iterator,Bug fix
"- FileSystemUtils.freeSpace/freeSpaceKb [IO-83]
  - These should now work on AIX and HP-UX",Bug fix
"- FileSystemUtils.freeSpace/freeSpaceKb [IO-90]
  - Avoid infinite looping in Windows",Bug fix
"- FileSystemUtils.freeSpace/freeSpaceKb [IO-90]
 - Catch more errors with nice messages",Bug fix
"- FileSystemUtils.freeSpace [IO-91]
  - This is now documented not to work on SunOS 5",Documentation
"- FileSystemUtils [IO-93]
  - Fixed resource leak leading to 'Too many open files' error",Bug fix
" FileUtils.touch [IO-100]
  - The touch method previously gave no indication when the file could not
    be touched successfully (such as due to access restrictions) - it now
    throws an IOException if the last modified date cannot be changed",Bug fix
"- FileCleaner
  - This now handles the situation where an error occurs when deleting the file",Bug fix
"- IOUtils.copy [IO-84]
  - Copy methods could return inaccurate byte/char count for large streams",Bug fix
"- Added a new copyLarge(InputStream, OutputStream) method that returns a long",Add support for a new feature
"- Added a new copyLarge(Reader, Writer) method that returns a long",Add support for a new feature
"- CountingInputStream/CountingOutputStream [IO-84]
  - Methods were declared as int thus the count was inaccurate for large streams",Bug fix
- new long based methods getByteCount()/resetByteCount() added,Add support for a new feature
- existing methods changed to throw an exception if the count is greater than an int,Bug fix
"- FileBasedTestCase
  - Fixed bug in compare content methods identified by GNU classpath",Bug fix
"- EndianUtils.writeSwappedLong(byte[], int) [IO-101]
  - An int overrun in the bit shifting when it should have been a long",Bug fix
"- EndianUtils.writeSwappedLong(InputStream) [IO-102]
  - The return of input.read(byte[]) was not being checked to ensure all 8 bytes were read",Bug fix
DirectoryWalker,Add support for a new feature
IOCase,Add support for a new feature
"FilenameUtils
  - New methods to handle case-sensitivity",Add support for a new feature
- wildcardMatch - new method that has IOCase as a parameter,Add support for a new feature
- equals - new method that has IOCase as a parameter,Add support for a new feature
- FileUtils [IO-108] - new default encoding methods for:,Add support for a new feature
" FileUtils.openOutputStream  [IO-107]
  - new method to open a FileOutputStream, creating parent directories if required",Add support for a new feature
" FileUtils.isFileOlder
  - new methods to check if a file is older (i.e. isFileOlder()) - counterparts
    to the existing isFileNewer() methods.",Add support for a new feature
"- FileUtils.checksum, FileUtils.checksumCRC32
  - new methods to create a checksum of a file",Add support for a new feature
"- FileUtils.copyFileToDirectory  [IO-104]
  - new variant that optionally retains the file date",Add support for a new feature
FileDeleteStrategy,Add support for a new feature
"- FileCleaner    [IO-56,IO-70]",Add support for a new feature
 FileCleaner.exitWhenFinished,Add support for a new feature
WildcardFileFilter,Add support for a new feature
"NameFileFilter
  - Ability to control case-sensitivity",Add support for a new feature
"FileFileFilter
  - New IOFileFilter implementation",Add support for a new feature
"- CanReadFileFilter
  - New IOFileFilter implementation",Add support for a new feature
"CanWriteFileFilter
  - New IOFileFilter implementation",Add support for a new feature
"- HiddenFileFilter
  - New IOFileFilter implementation",Add support for a new feature
"- EmptyFileFilter
  - New IOFileFilter implementation",Add support for a new feature
- TrueFileFilter/FalseFileFilter/DirectoryFileFilter,Add support for a new feature
"FileFilterUtils.makeDirectoryOnly/makeFileOnly
  - two new methods that decorate a file filter to make it apply to
    directories only or files only",Add support for a new feature
 NullWriter,Add support for a new feature
NullInputStream,Add support for a new feature
 NullReader,Add support for a new feature
" ByteArrayOutputStream  [IO-97]
  - Performance enhancements",Performance improvement
,
"- FileSystemUtils.freeSpace(drive)
  Fix to allow Windows based command to function in French locale",Bug fix
"- FileUtils.read*
  Increase certainty that files are closed in case of error",Bug fix
"- LockableFileWriter
  Locking mechanism was broken and only provided limited protection [38942]
  File deletion and locking in case of constructor error was broken",Bug fix
 AgeFileFilter/SizeFileFilter,Add support for a new feature
FileSystemUtils.freeSpaceKb(drive),Add support for a new feature
"FileUtils.contentEquals(File,File) Performance improved by adding length and file location checking",Performance improvement
"- FileUtils.iterateFiles
  Two new method to provide direct access to iterators over files",Add support for a new feature
"- FileUtils.lineIterator
  IOUtils.lineIterator
  New methods to provide an iterator over the lines in a file [38083]",Add support for a new feature
"- FileUtils.copyDirectoryToDirectory
  New method to copy a directory to within another directory [36315]",Add support for a new feature
,
- CopyUtils has been deprecated.,Deprecate functionality
"- FileUtils - touch()  [29821]
    Now creates the file if it did not previously exist",Bug fix
"- FileUtils - toFile(URL)  [32575]
    Now handles escape syntax such as %20",Bug fix
"- FileFilterUtils - makeCVSAware(IOFileFilter)  [33023]
    Fixed bug that caused method to be completely broken",Bug fix
"- CountingInputStream  [33336]
    Fixed bug that caused the count to reduce by one at the end of the stream",Bug fix
"- CountingInputStream - skip(long)  [34311]
    Bytes from calls to this method were not previously counted",Bug fix
"- NullOutputStream  [33481]
    Remove unnecessary synchronization",Bug fix
"- AbstractFileFilter - accept(File, String)  [30992]
    Fixed broken implementation",Bug fix
"- FileUtils  [36801]
    Previously threw NPE when listing files in a security restricted directory
    Now throw IOException with a better message",Bug fix
"- FileUtils - writeStringToFile()
    Null encoding now correctly uses the platform default",Bug fix
FilenameUtils - new class,Add support for a new feature
FileSystemUtils - new class,Add support for a new feature
IOUtils - new public constants,Add support for a new feature
"IOUtils - toByteArray(Reader,encoding)",Add support for a new feature
IOUtils - toCharArray(InputStream)  [28979],Add support for a new feature
IOUtils - readLines(InputStream),Add support for a new feature
ziOUtils - toInputStream(String),Add support for a new feature
" IOUtils - writeLines(Collection,lineEnding,OutputStream)",Add support for a new feature
IOUtils - write(...),Add support for a new feature
IOUtils - copy(...),Add support for a new feature
"IOUtils - contentEquals(Reader,Reader)",Add support for a new feature
FileUtils - toFiles(URL[]),Add support for a new feature
FileUtils - copyDirectory(),Add support for a new feature
FileUtils - readFileToByteArray(File),Add support for a new feature
"FileUtils - writeByteArrayToFile(File,byte[])",Add support for a new feature
"FileUtils - readLines(File,encoding)",Add support for a new feature
"FileUtils - writeLines(File,encoding,List)",Add support for a new feature
FileUtils - EMPTY_FILE_ARRAY,Add support for a new feature
ConditionalFileFilter - new interface,Add support for a new feature
"AndFileFilter, OrFileFilter",Add support for a new feature
WildcardFilter,Add support for a new feature
FileFilterUtils - makeSVNAware(IOFileFilter),Add support for a new feature
ClassLoaderObjectInputStream,Add support for a new feature
"CountingInputStream,CountingOutputStream - resetCount() ",Add support for a new feature
DeferredFileOutputStream - writeTo(OutputStream),Add support for a new feature
DeferredFileOutputStream,Add support for a new feature
LockableFileWriter - encoding support,Add support for a new feature
IOUtils and EndianUtils are no longer final,Code redesign
,
,
Pull request #1687: Mark ThreadGroups created by FailOnTimeout as daemon groups,Bug fix
Pull request $1691: Only create ThreadGroups if FailOnTimeout.lookForStuckThread is true.,Bug fix
Pull request #1654: Fix for issue #1192: NotSerializableException with AssumptionViolatedException,Bug fix
,
Security fix: TemporaryFolder now limits access to temporary folders on Java 1.7 or later,Security improvement
Pull request #1669: Make FrameworkField constructor public,Code redesign
,
Pull request #1054: Improved error message for assertArrayEquals when multi-dimensional arrays have different lengths,Maintainability improvement
Pull request #1154 and #1504 Add assertThrows,Add support for a new feature
-,Maintainability improvement
Pull request #1300: Show contents of actual array when array lengths differ,Code redesign
Pull request #1315: assertArrayEquals shouldn't throw an NPE when test suites are compiled/run across versions of junit,Bug fix
Pull request #1150: Deprecate Assert#assertThat,Deprecate functionality
Pull request #1037: BlockJUnit4ClassRunner#createTest now accepts FrameworkMethod,Code redesign
Pull request #1082: Ensure exceptions from BlockJUnit4ClassRunner.methodBlock() don't result in unrooted tests,Bug fix
Pull request #1286: Provide better feedback to the user in case of invalid test classes,Maintainability improvement
Pull request #1252: Restore ability use ParentRunner lost in separate class loader,Bug fix
Pull request #1377: Description produced by Request.classes() shouldn't be null,Bug fix
Issue #1290: Tests expecting AssumptionViolatedException are now correctly marked as passed,Bug fix
Pull request #1465: Provide helpful message if parameter cannot be set.,Maintainability improvement
Issue #1329: Support assumptions in @Parameters method,Bug fix
Pull request #1449: Parameterized runner reuses TestClass instance,Memory improvement
"Pull request #1130: Add Ordering, Orderable and @OrderWith",Add support for a new feature
Pull request #1408: Suites don't have to be public,Bug fix
Pull request #1638: Never reorder classes annotated with @FixMethodOrder,Bug fix
Pull request #1044: Strict verification of resource deletion in TemporaryFolder rule,Add support for a new feature
Issue #1100: StopWatch does not need to be abstract.,Code redesign
Issue #1157: TestName: Make 'name' field volatile,Code redesign
Issue #1223: TemporaryFolder doesn't work for parallel test execution in several JVMs,Bug fix
Pull request #1305: Add ErrorCollector.checkThrows,Add support for a new feature
Issue #1303: Prevent following symbolic links when deleting temporary directories,Bug fix
Issue #1295: Javadoc for RuleChain contains errors,Documentation
Pull request #1313: RuleChain.around() rejects null arguments,Bug fix
Pull request #1397: Change generics on ExpectedException.expectCause(),Bug fix
Pull request #1443: ExpectedException.isAnyExceptionExpected() is now public,Bug fix
Pull request #1395: Wrap assumption violations in ErrorCollector,Bug fix
-,Bug fix
Pull request #1402: TemporaryFolder.newFolder(String) supports paths with slashes,Bug fix
Pull requests #1406 (part 1) and #1568: Improve error message when TemporaryFolder.newFolder(String) fails,Bug fix
-,Maintainability improvement
Pull request #1406 (part 2): TemporaryFolder.newFolder(String...) supports path separator,Bug fix
Pull request #1406 (part 3): TemporaryFolder.newFolder(String...) fails for empty array,Bug fix
Pull request #1335: Fix ExternalResource: the test failure could be lost,Bug fix
Pull request #1435: @BeforeParam/@AfterParam method annotations for Parameterized tests.,Add support for a new feature
Pull request #1460: Handle assumption violations in the @Parameters method for Parameterized tests.,Bug fix
Pull request #1445 and Pull request #1335: Declarative ordering of rules.,Add support for a new feature
-,Deprecate functionality
-,Documentation
Pull request #1517: Timeout rule destroys its ThreadGroups at the end,Bug fix
Pull request #1633: Deprecate ExpectedException.none(),Deprecate functionality
Pull request #1413: Ignore bridge methods when scanning for annotated methods,Bug fix
Pull request #1612: Make @ValidateWith only applicable to annotation types,Bug fix
