Changes,General Category
"Bump actions/checkout from v2.3.1 to v2.3.4 #601, #639. Thanks to Dependabot.",Update dependency
Bump actions/setup-java from v1.4.0 to v1.4.2 #612. Thanks to Dependabot.,Update dependency
Update commons.jacoco.version 0.8.5 to 0.8.6 (Fixes Java 15 builds). Thanks to Gary Gregory.,Update dependency
Update maven-surefire-plugin 2.22.2 -> 3.0.0-M5. Thanks to Gary Gregory.,Update dependency
Bump maven-pmd-plugin from 3.13.0 to 3.14.0 #660. Thanks to Dependabot.,Update dependency
Bump jmh.version from 1.21 to 1.27 #674. Thanks to Dependabot.,Update dependency
Update commons.japicmp.version 0.14.3 -> 0.15.2. Thanks to Gary Gregory.,Update dependency
Processor.java: check enum equality with == instead of .equals() method #690. Thanks to Ali K. Nouri.,Code redesign
Bump junit-pioneer from 1.1.0 to 1.3.0 #702. Thanks to Dependabot.,Update dependency
Bump maven-checkstyle-plugin from 3.1.1 to 3.1.2 #705. Thanks to Dependabot.,Update dependency
Bump actions/cache from v2 to v2.1.4 #710. Thanks to Dependabot.,Update dependency
Bump junit-bom from 5.7.0 to 5.7.1 #707. Thanks to Dependabot.,Update dependency
Minor Improvements #701. Thanks to Arturo Bernal.,Code redesign
-,Maintainability improvement
Minor Improvement: Add final variable.try to make the code read-only #700. Thanks to Arturo Bernal.,Code redesign
Minor Improvement: Remove redundant initializer #699. Thanks to Arturo Bernal.,Performance improvement
Use own validator ObjectUtils.anyNull to check null String input #718. Thanks to Arturo Bernal.,Maintainability improvement
,
Refine test output for FastDateParserTest Thanks to Jin Xu.,Performance improvement
CharSequenceUtils.lastIndexOf : remake it. Fixes LANG-1549. Thanks to Jin Xu.,Maintainability improvement
remove encoding and docEncoding and use inherited values from commons-parent Thanks to XenoAmess.,Maintainability improvement
Fix Javadoc for StringUtils.appendIfMissingIgnoreCase() #507. Thanks to contextshuffling.,Documentation
"Simplify null checks in Pair.hashCode() using Objects.hashCode(). #517. Thanks to Isira Seneviratne, Bruno P. Kinoshita.",Maintainability improvement
"Simplify null checks in Triple.hashCode() using Objects.hashCode(). #516. Thanks to Isira Seneviratne, Bruno P. Kinoshita.",Maintainability improvement
"Simplify some if statements in StringUtils. #521. Thanks to Isira Seneviratne, Bruno P. Kinoshita.",Maintainability improvement
"Simplify a null check in the private replaceEach() method of StringUtils. #514. Fixes LANG-1537. Thanks to Isira Seneviratne, Bruno P. Kinoshita.",Maintainability improvement
"Replace some usages of the ternary operator with calls to Math.max() and Math.min() #512. Fixes LANG-1534. Thanks to Isira Seneviratne, Bruno P. Kinoshita.",Maintainability improvement
"(Javadoc) Fix return tag for throwableOf*() methods #518. Thanks to Arend v. Reinersdorff, Bruno P. Kinoshita.",Documentation
"Add ArrayUtils.isSameLength() to compare more array types #430. Thanks to XenoAmess, Gary Gregory.",Add support for a new feature
"CharSequenceUtils.regionMatches is wrong dealing with Georgian. Fixes LANG-1545. Thanks to XenoAmess, Gary Gregory.",Bug fix
Added the Locks class as a convenient possibility to deal with locked objects.,Add support for a new feature
"Add to Functions: FailableBooleanSupplier, FailableIntSupplier, FailableLongSupplier, FailableDoubleSupplier, and so on. Fixes LANG-1568.",Add support for a new feature
"Add ArrayUtils.get(T[], index, T) to provide an out-of-bounds default value. Fixes LANG-1569.",Add support for a new feature
Optimize ArrayUtils::isArrayIndexValid method. #551. Fixes LANG-1550. Thanks to Edgar Asatryan.,Performance improvement
-,Maintainability improvement
Use List.sort instead of Collection.sort #546. Fixes LANG-1561. Thanks to XenoAmess.,Maintainability improvement
Use StandardCharsets.UTF_8 #548. Fixes LANG-1563. Thanks to XenoAmess.,Maintainability improvement
Use Collections.singletonList insteadof Arrays.asList when there be only one element. #549. Fixes LANG-1564. Thanks to XenoAmess.,Memory improvement
Refine Javadoc #545. Fixes LANG-1560. Thanks to XenoAmess.,Documentation
Change array style from `int a[]` to `int[] a` #537. Fixes LANG-1553. Thanks to XenoAmess.,Maintainability improvement
Change from addAll to constructors for some List #536. Fixes LANG-1552. Thanks to XenoAmess.,Performance improvement
Fix typos #539. Fixes LANG-1554. Thanks to XenoAmess.,Maintainability improvement
"Ignored exception `ignored`, should not be called so #540. Fixes LANG-1555. Thanks to XenoAmess.",Maintainability improvement
Simplify if as some conditions are covered by others #543. Fixes LANG-1558. Thanks to XenoAmess.,Maintainability improvement
StringUtils.replaceEachRepeatedly gives IllegalStateException #505. Fixes LANG-1528. Thanks to Edwin Delgado H.,Bug fix
Add JavaVersion enum constants for Java 14 and 15. #553. Fixes LANG-1570. Thanks to Edgar Asatryan.,Add support for a new feature
Add JavaVersion enum constants for Java 16. Thanks to Gary Gregory.,Add support for a new feature
Use Java 8 lambdas and Map operations. Fixes LANG-1556. Thanks to XenoAmess.,Maintainability improvement
Change removeLastFieldSeparator to use endsWith #550. Fixes LANG-1565. Thanks to XenoAmess.,Maintainability improvement
"Change a Pattern to a static final field, for not letting it compile each time the function invoked. #542. Fixes LANG-1557. Thanks to XenoAmess, Gary Gregory.",Add support for a new feature
Add ImmutablePair factory methods left() and right().,Add support for a new feature
"Add ObjectUtils.toString(Object, Supplier<String>).",Add support for a new feature
"Fixed Javadocs for setTestRecursive() #556. Fixes LANG-1567. Thanks to Miguel Muñoz, Bruno P. Kinoshita, Gary Gregory.",Documentation
"ToStringBuilder.reflectionToString - Wrong JSON format when object has a List of Enum. Fixes LANG-1542. Thanks to Trần Ngọc Khoa, Gary Gregory.",Bug fix
"[JSON string for maps] ToStringBuilder.reflectionToString doesnt render nested maps correctly. Fixes LANG-1543. Thanks to Swaraj Pal, Wander Costa, Gary Gregory.",Bug fix
Make org.apache.commons.lang3.CharSequenceUtils.toCharArray(CharSequence) public.,Code redesign
"Add org.apache.commons.lang3.StringUtils.substringAfter(String, int).",Add support for a new feature
"Add org.apache.commons.lang3.StringUtils.substringAfterLast(String, int).",Add support for a new feature
Correct Javadocs of methods that use Validate.notNull() and replace some uses of Validate.isTrue() with Validate.notNull(). #525. Thanks to Isira Seneviratne.,Documentation
Add allNull() and anyNull() methods to ObjectUtils. #522. Fixes LANG-1539. Thanks to Isira Seneviratne.,Add support for a new feature
org.apache.commons:commons-parent 50 -> 51.,Update dependency
org.junit-pioneer:junit-pioneer 0.5.4 -> 0.6.0.,Update dependency
org.junit.jupiter:junit-jupiter 5.6.0 -> 5.6.2.,Update dependency
com.github.spotbugs:spotbugs 4.0.0 -> 4.0.6.,Update dependency
com.puppycrawl.tools:checkstyle 8.29 -> 8.34.,Update dependency
commons.surefire.version 3.0.0-M4 -> 3.0.0-M5..,Update dependency
,
Make test more stable by wrapping assertions in hashset. Fixes LANG-1514. Thanks to contextshuffling.,Bug fix
Generate Javadoc jar on build. Fixes LANG-1450.,Bug fix
"Add ExceptionUtils.throwableOfType(Throwable, Class) and friends. Fixes LANG-1457.",Add support for a new feature
Add EMPTY_ARRAY constants to classes in org.apache.commons.lang3.tuple. Fixes LANG-1458.,Add support for a new feature
Add null-safe StringUtils APIs to wrap String#getBytes([Charset|String]). Fixes LANG-1461.,Add support for a new feature
Add zero arg constructor for org.apache.commons.lang3.NotImplementedException. Fixes LANG-1467.,Add support for a new feature
Add ArrayUtils.addFirst() methods. Fixes LANG-1470.,Add support for a new feature
Remove redundant if statements in join methods #411. Fixes LANG-1437. Thanks to Andrei Troie.,Performance improvement
"Trivial: year of release for 3.9 says 2018, should be 2019. Fixes LANG-1460. Thanks to Larry West.",Documentation
Use synchronize on a set created with Collections.synchronizedSet before iterating. Fixes LANG-1476. Thanks to emopers.,Bug fix
Add Range.fit(T) to fit a value into a range. Fixes LANG-1479.,Add support for a new feature
commons.japicmp.version 0.13.1 -> 0.14.1.,Update dependency
junit-jupiter 5.5.0 -> 5.5.1.,Update dependency
"Added Functions.as*, and tests thereof, as suggested by Peter Verhas. Fixes LANG-1477.",Add support for a new feature
StringUtils.unwrap incorrect throw StringIndexOutOfBoundsException. Fixes LANG-1475. Thanks to stzx.,Bug fix
Add gettersfor lhs and rhs objects in DiffResult #451. Fixes LANG-1485. Thanks to nicolasbd.,Add support for a new feature
"Generify builder classes Diffable, DiffBuilder, and DiffResult #452. Fixes LANG-1486. Thanks to Gary Gregory.",Code redesign
Add ClassLoaderUtils with toString() implementations #453. Fixes LANG-1487. Thanks to Gary Gregory.,Add support for a new feature
Add null-safe APIs as StringUtils.toRootLowerCase(String) and StringUtils.toRootUpperCase(String) #456. Fixes LANG-1489. Thanks to Gary Gregory.,Add support for a new feature
StringIndexOutOfBoundsException in StringUtils.replaceIgnoreCase #423. Fixes LANG-1406. Thanks to geratorres.,Bug fix
"StringUtils.removeIgnoreCase(""İa"", ""a"") throws IndexOutOfBoundsException #423. Fixes LANG-1453. Thanks to geratorres.",Bug fix
junit-jupiter 5.5.1 -> 5.5.2.,Update dependency
"Corrected usage examples in Javadocs #458. Fixes LANG-1426. Thanks to Brower, Mikko Maunu, Suraj Gautam.",Documentation
"Improve Javadoc based on the discussion of the GitHub PR #459. Thanks to Jonathan Leitschuh, Bruno P. Kinoshita, Rob Tompkins, Gary Gregory.",Documentation
maven-checkstyle-plugin 3.0.0 -> 3.1.0.,Update dependency
Update documentation related to the issue LANG-696 #449. Fixes LANG-696. Thanks to Peter Verhas.,Documentation
AnnotationUtils little cleanup #467. Thanks to Peter Verhas.,Maintainability improvement
Add org.apache.commons.lang3.time.Calendars. Fixes LANG-1494. Thanks to Gary Gregory.,Add support for a new feature
Add EnumUtils getEnum() methods with default values #475. Fixes LANG-1495. Thanks to Cheong Voon Leong.,Add support for a new feature
Added indexesOf methods and simplified removeAllOccurences #471. Fixes LANG-1177. Thanks to Liel Fridman.,Add support for a new feature
-,Maintainability improvement
"Add support of lambda value evaluation for defaulting methods #416. Fixes LANG-1498. Thanks to Lysergid, Gary Gregory.",Add support for a new feature
"StringUtils abbreviate returns String of length greater than maxWidth #477. Fixes LANG-1463. Thanks to bbeckercscc, Gary Gregory.",Bug fix
Test may fail due to a different order of fields returned by reflection api #480. Fixes LANG-1500. Thanks to contextshuffling.,Bug fix
Update test dependency: org.easymock:easymock 4.0.2 -> 4.1. Thanks to Gary Gregory.,Update dependency
Update test dependency: org.hamcrest:hamcrest 2.1 -> 2.2. Thanks to Gary Gregory.,Update dependency
Update test dependency: org.junit-pioneer:junit-pioneer 0.3.0 -> 0.4.2. Thanks to Gary Gregory.,Update dependency
Update build dependency: com.puppycrawl.tools:checkstyle 8.18 -> 8.27. Thanks to Gary Gregory.,Update dependency
Sort fields in ReflectionToStringBuilder for deterministic order #481. Fixes LANG-1501. Thanks to contextshuffling.,Bug fix
Update POM parent: org.apache.commons:commons-parent 48 -> 50. Thanks to Gary Gregory.,Update dependency
BooleanUtils Javadoc #469. Thanks to Peter Verhas.,Documentation
Functions Javadoc #466. Thanks to Peter Verhas.,Documentation
"Add factory methods to Pair classes with Map.Entry input. #454. Fixes LANG-1503. Thanks to XenoAmess, Gary Gregory.",Add support for a new feature
Add StopWatch convenience APIs to format times and create a simple instance. Fixes LANG-1505. Thanks to Gary Gregory.,Add support for a new feature
Allow a StopWatch to carry an optional message. Fixes LANG-1506. Thanks to Gary Gregory.,Code redesign
"Add ComparableUtils #398. Fixes LANG-1507. Thanks to Sam Kruglov, Mark Dacek, Marc Magon, Pascal Schumacher, Rob Tompkins, Bruno P. Kinoshita, Amey Jadiye, Gary Gregory.",Add support for a new feature
Add org.apache.commons.lang3.SystemUtils.getUserName(). Fixes LANG-1508. Thanks to Gary Gregory.,Add support for a new feature
Add ObjectToStringComparator. #483. Fixes LANG-1509. Thanks to Gary Gregory.,Add support for a new feature
Add org.apache.commons.lang3.arch.Processor.Arch.getLabel(). Fixes LANG-1510. Thanks to Gary Gregory.,Add support for a new feature
Add IS_JAVA_14 and IS_JAVA_15 to org.apache.commons.lang3.SystemUtils. Fixes LANG-1512. Thanks to Gary Gregory.,Add support for a new feature
"ObjectUtils: Get first non-null supplier value. Fixes LANG-1513. Thanks to Bernhard Bonigl, Gary Gregory.",Add support for a new feature
"Added the Streams class, and Functions.stream() as an accessor thereof.",Add support for a new feature
org.easymock:easymock 4.1 -> 4.2. Thanks to Gary Gregory.,Update dependency
org.junit-pioneer:junit-pioneer 0.4.2 -> 0.5.4. Thanks to Gary Gregory.,Update dependency
org.junit.jupiter:junit-jupiter 5.5.2 -> 5.6.0. Thanks to Gary Gregory.,Update dependency
Use Javadoc {@code} instead of pre tags. #490. Thanks to Peter Verhas.,Documentation
ExceptionUtilsTest to 100% #486. Thanks to Peter Verhas.,Quality assurance
MethodUtils will throw a NPE if invokeMethod() is called for a var-args method #407. Fixes LANG-1433. Thanks to Christian Franzen.,Bug fix
Reuse own code in Functions.java #493. Thanks to Peter Verhas.,Maintainability improvement
"MethodUtils.getAnnotation() with searchSupers = true does not work if super is generic #494. Fixes LANG-1518. Thanks to Michele Preti, Bruno P. Kinoshita, Gary Gregory.",Bug fix
"Avoid unnecessary allocation in StringUtils.wrapIfMissing. #496. Fixes LANG-1523. Thanks to Edgar Asatryan, Bruno P. Kinoshita, Gary Gregory.",Memory improvement
"Internally use Validate.notNull(foo, ...) instead of Validate.isTrue(foo != null, ...). Fixes LANG-1525. Thanks to Edgar Asatryan, Bruno P. Kinoshita, Gary Gregory.",Maintainability improvement
Add 1 and 0 in toBooleanObject(final String str) #502. Fixes LANG-1526. Thanks to Dominik Schramm.,Add support for a new feature
Remove an redundant argument check in NumberUtils #504. Fixes LANG-1527. Thanks to Pengyu Nie.,Performance improvement
"Deprecate org.apache.commons.lang3.ArrayUtils.removeAllOccurences(*) for org.apache.commons.lang3.ArrayUtils.removeAllOccurrences(*). Fixes LANG-1529. Thanks to Gary Gregory, BillCindy, Bruno P. Kinoshita.",Deprecate functionality
,
"FieldUtils.removeFinalModifier(Field, boolean), in java 12 throw exception because the final modifier is no longer mutable. Fixes LANG-1447.",Bug fix
Switch coverage from cobertura to jacoco. Fixes LANG-1446.,Support for external development tool
-,Remove support for external development tool
Javadoc pointing to Commons RNG. Fixes LANG-1442.,Documentation
Add more SystemUtils.IS_JAVA_XX variants. Fixes LANG-1416.,Add support for a new feature
Adding the Functions class.,Add support for a new feature
Update to JUnit 5. Fixes LANG-1416.,Add support for a new feature
Add @FunctionalInterface to ThreadPredicate and ThreadGroupPredicate. Fixes LANG-1417.,Add support for a new feature
Update Java Language requirement to 1.8. Fixes LANG-1415.,Update dependency
Add isEmpty method to ObjectUtils. Fixes LANG-1411. Thanks to Alexander Tsvetkov.,Add support for a new feature
Add null-safe StringUtils.valueOf(char[]) to delegate to String.valueOf(char[]). Fixes LANG-1422.,Add support for a new feature
Add API org.apache.commons.lang3.SystemUtils.isJavaVersionAtMost(JavaVersion). Fixes LANG-1427.,Add support for a new feature
Consolidate the StringUtils equals and equalsIgnoreCase Javadoc and implementation. Fixes LANG-1436.,Maintainability improvement
-,Documentation
(doc) Fix javadoc for 'startIndex' parameter of StringUtils.join() methods. GitHub PR #412. Thanks to Andrei Troie aft90.,Documentation
,
Restore BundleSymbolicName for OSGi. Fixes LANG-1419.,Bug fix
,
FastDateParser too strict on abbreviated short month symbols. Fixes LANG-1380. Thanks to Markus Jelsma.,Bug fix
JsonToStringStyle does not escape string names. Fixes LANG-1396.,Bug fix
JsonToStringStyle does not escape double quote in a string value. Fixes LANG-1395. Thanks to Jim Gan.,Bug fix
"New Java version (""11"") must be handled. Fixes LANG-1384. Thanks to Ian Young.",Bug fix
ExceptionUtils#getRootCause(Throwable t) should return t if no lower level cause exists. Fixes LANG-1364. Thanks to Zheng Xie.,Bug fix
NumberUtils.isNumber assumes number starting with Zero. Fixes LANG-1060. Thanks to Piotr Kosmala.,Bug fix
"defaultString(final String str) in StringUtils to reuse defaultString(final String str, final String defaultStr). Fixes LANG-1375. Thanks to Jerry Zhao.",Maintainability improvement
Parsing Json Array failed. Fixes LANG-1374. Thanks to Jaswanth Bala.,Bug fix
Fix TypeUtils#parameterize to work correctly with narrower-typed array. Fixes LANG-1371. Thanks to Dmitry Ovchinnikov.,Bug fix
Fix EventCountCircuitBreaker increment batch. Fixes LANG-1370. Thanks to Andre Dieb.,Bug fix
NumberUtils.createNumber() throws StringIndexOutOfBoundsException instead of NumberFormatException. Fixes LANG-1385. Thanks to Rohan Padhye.,Bug fix
WordUtils.wrap throws StringIndexOutOfBoundsException when wrapLength is Integer.MAX_VALUE. Fixes LANG-1397. Thanks to Takanobu Asanuma.,Bug fix
"Typo in JavaDoc for lastIndexOf. Fixes LANG-1401. Thanks to Roman Golyshev, Alex Mamedov.",Documentation
ObjectUtils.identityToString(Object) and friends should allocate builders and buffers with a size. Fixes LANG-1367. Thanks to Gary Gregory.,Memory improvement
EnumUtils.getEnumIgnoreCase and isValidEnumIgnoreCase methods added. Fixes LANG-1352. Thanks to Ruslan Sibgatullin.,Add support for a new feature
Add ToStringSummary annotation. Fixes LANG-1372. Thanks to Sérgio Ozaki.,Add support for a new feature
Add bypass option for classes to recursive and reflective EqualsBuilder. Fixes LANG-1356. Thanks to Yathos UG.,Add support for a new feature
"Improve Javadoc for StringUtils.isAnyEmpty(null). Fixes LANG-1391. Thanks to Sauro Matulli, Oleg Chubaryov.",Documentation
"Add API SystemUtils.String getEnvironmentVariable(final String name, final String defaultValue). Fixes LANG-1393. Thanks to Gary Gregory.",Add support for a new feature
"org.apache.commons.lang3.SystemUtils should not write to System.err. Fixes LANG-1394. Thanks to Sebb, Gary Gregory.",Bug fix
"Add RegexUtils class instead of overloading methods in StringUtils that take a regex to take precompiled Pattern. Fixes LANG-1238. Thanks to Christopher Cordeiro, Gary Gregory, Bruno P. Kinoshita, Oleg Chubaryov.",Add support for a new feature
StringUtils.join() with support for List<?> with configurable start/end indices. Fixes LANG-1390. Thanks to Jochen Schalanda.,Add support for a new feature
Methods for getting first non empty or non blank value. Fixes LANG-1392. Thanks to Jeff Nelson.,Add support for a new feature
Remove checks for java versions below the minimum supported one. Fixes LANG-1405. Thanks to Lars Grefer.,Performance improvement
Null/index safe get methods for ArrayUtils. Fixes LANG-1402. Thanks to Mark Dacek.,Add support for a new feature
Rounding utilities for converting to BigDecimal. Fixes LANG-1408.,Add support for a new feature
,
Fix tests DateUtilsTest for Java 9 with en_GB locale. Fixes LANG-1362. Thanks to Stephen Colebourne.,Bug fix
"Fix NullPointerException in isJavaVersionAtLeast on Java 10, add SystemUtils.IS_JAVA_10, add JavaVersion.JAVA_10. Fixes LANG-1365. Thanks to Gary Gregory.",Bug fix
StackOverflowError on TypeUtils.toString(...) for a generic return type of Enum.valueOf. Fixes LANG-1348. Thanks to mbusso.,Bug fix
"ConstructorUtils.invokeConstructor(Class, Object...) regression. Fixes LANG-1350. Thanks to Brett Kail.",Bug fix
EqualsBuilder#isRegistered: swappedPair construction bug. Fixes LANG-1349. Thanks to Naman Nigam.,Bug fix
org.apache.commons.lang3.time.FastDateParser should use toUpperCase(Locale). Fixes LANG-1357. Thanks to BruceKuiLiu.,Bug fix
Improve StringUtils#replace throughput. Fixes LANG-1358. Thanks to Stephane Landelle.,Performance improvement
Remove deprecation from RandomStringUtils. Fixes LANG-1346.,Code redesign
ExceptionUtils.getThrowableList() is using deprecated ExceptionUtils.getCause(). Fixes LANG-1361. Thanks to Ana.,Bug fix
TimeZone.getTimeZone() in FastDateParser causes resource contention (PR #296.). Fixes LANG-1355. Thanks to Chas Honton.,Performance improvement
Add methods to ObjectUtils to get various forms of class names in a null-safe manner. Fixes LANG-1360. Thanks to Gary Gregory.,Add support for a new feature
,
Add Automatic-Module-Name MANIFEST entry for Java 9 compatibility. Fixes LANG-1338.,Update dependency
Add NUL Byte To CharUtils. Fixes LANG-1336. Thanks to Beluga Behr.,Add support for a new feature
Fix test failures in IBM JDK 8 for ToStringBuilderTest. Fixes LANG-1337.,Bug fix
Add method in StringUtils to determine if string contains both mixed cased characters. Fixes LANG-1304. Thanks to Andy Klimczak.,Add support for a new feature
Deprecate CharEncoding in favour of java.nio.charset.StandardCharsets. Fixes LANG-1334.,Deprecate functionality
MultilineRecursiveToStringStyle StackOverflowError when object is an array. Fixes LANG-1319.,Bug fix
Increase test coverage of ToStringBuilder class to 100%. Fixes LANG-1325. Thanks to Arshad Basha.,Quality assurance
Add a method in StringUtils to extract only digits out of input string. Fixes LANG-1307. Thanks to Arshad Basha.,Add support for a new feature
Implement HashSetvBitSetTest using JMH. Fixes LANG-1110. Thanks to Bruno P. Kinoshita.,Support for external development tool
Add JMH maven dependencies. Fixes LANG-1256. Thanks to C0rWin.,Update dependency
Add null filter to ReflectionToStringBuilder. Fixes LANG-1167. Thanks to Mark Dacek.,Add support for a new feature
LocaleUtils#toLocale does not support language followed by UN M.49 numeric-3 area code followed by variant. Fixes LANG-1320.,Bug fix
Clarify or improve behavior of int-based indexOf methods in StringUtils. Fixes LANG-1300. Thanks to Mark Dacek.,Code redesign
Add method for converting string to an array of code points. Fixes LANG-1299.,Add support for a new feature
RandomStringUtils random method can overflow and return characters outside of specified range. Fixes LANG-1286.,Bug fix
Add methods to insert arrays into arrays at an index. Fixes LANG-660.,Add support for a new feature
WordUtils.wrap throws StringIndexOutOfBoundsException. Fixes LANG-1292.,Bug fix
RandomStringUtils#random can enter infinite loop if end parameter is to small. Fixes LANG-1287. Thanks to Ivan Morozov.,Bug fix
NullPointerException in FastDateParser$TimeZoneStrategy. Fixes LANG-1285. Thanks to Francesco Chicchiriccò.,Bug fix
Javadoc of StringUtils.ordinalIndexOf is contradictory. Fixes LANG-1281. Thanks to Andreas Lundblad.,Documentation
StringUtils#join(T...): warning: [unchecked] Possible heap pollution from parameterized vararg type T. Fixes LANG-1188.,Documentation
"Multiple calls of org.apache.commons.lang3.concurrent.LazyInitializer.initialize() are possible. Fixes LANG-1144. Thanks to Waldemar Maier, Gary Gregory.",Bug fix
StrBuilder#replaceAll ArrayIndexOutOfBoundsException. Fixes LANG-1276. Thanks to Andy Klimczak.,Bug fix
BooleanUtils javadoc issues. Fixes LANG-1278. Thanks to Duke Yin.,Documentation
ArrayUtils#add confusing example in javadoc. Fixes LANG-1070. Thanks to Paul Pogonyshev.,Documentation
StringUtils#isAnyEmpty and #isAnyBlank should return false for an empty array. Fixes LANG-1271. Thanks to Pierre Templier.,Bug fix
"Add StringUtils#unwrap. Fixes LANG-1155. Thanks to Saif Asif, Thiago Andrade.",Add support for a new feature
Add support for recursive comparison to EqualsBuilder#reflectionEquals. Fixes LANG-1034. Thanks to Yathos UG.,Add support for a new feature
Add a reflection-based variant of DiffBuilder. Fixes LANG-1067.,Add support for a new feature
Implementation of a Memomizer. Fixes LANG-740. Thanks to James Sawle.,Add support for a new feature
"Add ArrayUtils#toStringArray method. Fixes LANG-1258. Thanks to IG, Grzegorz Rożniecki.",Add support for a new feature
StringUtils#abbreviate should support 'custom ellipses' parameter. Fixes LANG-1160.,Bug fix
"Add StringUtils#isAllEmpty and #isAllBlank methods. Fixes LANG-1293. Thanks to Pierre Templier, Martin Tarjanyi.",Add support for a new feature
Increase test coverage of org.apache.commons.lang3.ArrayUtils. Fixes LANG-1290. Thanks to Andrii Abramov.,Quality assurance
StrSubstitutor should state its thread safety. Fixes LANG-1274.,Documentation
StringUtils#getLevenshteinDistance reduce memory consumption. Fixes LANG-1277. Thanks to yufcuy.,Memory improvement
Update Java requirement from Java 6 to 7. Fixes LANG-1279.,Update dependency
StringUtils should use toXxxxCase(int) rather than toXxxxCase(char). Fixes LANG-1143. Thanks to sebb.,Bug fix
Add SystemUtils.getHostName() API. Fixes LANG-1297.,Add support for a new feature
Moving apache-rat-plugin configuration into pluginManagement. Fixes LANG-1301. Thanks to Karl Heinz Marbaise.,Code redesign
TypeUtils.toString() doesn't handle primitive and Object arrays correctly. Fixes LANG-1311. Thanks to Aaron Digulla.,Bug fix
LocaleUtils#toLocale does not support language followed by UN M.49 numeric-3 area code. Fixes LANG-1312.,Bug fix
Build failures when building with Java 9 EA. Fixes LANG-1265.,Bug fix
javadoc creation broken with Java 8. Fixes LANG-1314. Thanks to Allon Murienik.,Bug fix
Deprecate classes/methods moved to commons-text. Fixes LANG-1316.,Deprecate functionality
-,Deprecate functionality
MethodUtils.invokeMethod throws ArrayStoreException if using varargs arguments and smaller types than the method defines. Fixes LANG-1310. Thanks to Don Jeba.,Bug fix
"Add ArchUtils - An utility class for the ""os.arch"" system property. Fixes LANG-1313. Thanks to Tomschi.",Add support for a new feature
Add shuffle methods to ArrayUtils. Fixes LANG-1272.,Add support for a new feature
"Add MethodUtils#findAnnotation and extend MethodUtils#getMethodsWithAnnotation for non-public, super-class and interface methods. Fixes LANG-1317. Thanks to Yasser Zamani.",Add support for a new feature
Add ImmutablePair.nullPair(). Fixes LANG-1331.,Add support for a new feature
Add ImmutableTriple.nullTriple(). Fixes LANG-1332.,Add support for a new feature
,
Added a tryAcquire() method to TimedSemaphore. Fixes LANG-1275.,Add support for a new feature
Added a new property IS_OS_MAC_OSX_EL_CAPITAN in SystemUtils. Fixes LANG-1273. Thanks to Jake Wang.,Add support for a new feature
"Add DateUtils.toCalendar(Date, TimeZone). Fixes LANG-1255. Thanks to Kaiyuan Wang.",Add support for a new feature
Add WordUtils.wrap overload with customizable breakable character. Fixes LANG-1023. Thanks to Marko Bekhta.,Add support for a new feature
"Add method removeIgnoreCase(String, String) to StringUtils. Fixes LANG-787. Thanks to Gokul Nanthakumar C.",Add support for a new feature
ArrayUtils.contains returns false for instances of subtypes. Fixes LANG-1261.,Add support for a new feature
Prepare Java 9 detection. Fixes LANG-1197.,Deprecate functionality
"Rename NumberUtils.isNumber, isCreatable to better reflect createNumber. Also, accommodated for ""+"" symbol as prefix in isCreatable and isNumber. Fixes LANG-1252. Thanks to Rob Tompkins.",Maintainability improvement
"CompareToBuilder.append(Object, Object, Comparator) method is too big to be inlined. Fixes LANG-1262. Thanks to Ruslan Cheremin.",Maintainability improvement
Remove unnecessary synchronization from registry lookup in EqualsBuilder and HashCodeBuilder. Fixes LANG-1230. Thanks to Philippe Marschall.,Performance improvement
Extend RandomStringUtils with methods that generate strings between a min and max length. Fixes LANG-1224. Thanks to Caleb Cushing.,Add support for a new feature
"Handle ""void"" in ClassUtils.getClass(). Fixes LANG-1214. Thanks to Henry Tung.",Bug fix
SerializationUtils#deserialize has unnecessary code and a comment for that. Fixes LANG-1250. Thanks to Glease Wang.,Maintainability improvement
Javadoc for ArrayUtils.isNotEmpty() is slightly misleading. Fixes LANG-1259. Thanks to Dominik Stadler.,Documentation
"Add APIs StringUtils.wrapIfMissing(String, char|String). Fixes LANG-1257. Thanks to Gary Gregory.",Add support for a new feature
TypeUtils.isAssignable throws NullPointerException when fromType has type variables and toType generic superclass specifies type variable. Fixes LANG-1190. Thanks to pschumacher.,Bug fix
StringUtils#normalizeSpace does not trim the string anymore. Fixes LANG-1226. Thanks to pschumacher.,Bug fix
SerializationUtils.ClassLoaderAwareObjectInputStream should use static initializer to initialize primitiveTypes map. Fixes LANG-1251. Thanks to Takuya Ueshin.,Bug fix
[GitHub issue #170] Add RandomUtils#nextBoolean() method. Fixes LANG-1253. Thanks to adilek.,Add support for a new feature
FastDatePrinter Memory allocation regression. Fixes LANG-1248. Thanks to Benoit Wiart.,Memory improvement
FastDatePrinter generates extra Date objects. Fixes LANG-1247. Thanks to Benoit Wiart.,Memory improvement
Fix precision loss on NumberUtils.createNumber(String). Fixes LANG-1018. Thanks to Nick Manley.,Bug fix
"HashCodeBuilder.append(Object,Object) is too big to be inlined, which prevents whole builder to be scalarized. Fixes LANG-1229. Thanks to Ruslan Cheremin.",Maintainability improvement
Add a circuit breaker implementation. Fixes LANG-1085. Thanks to oheger / kinow.,Add support for a new feature
Add StringUtils.truncate(). Fixes LANG-1013. Thanks to Thiago Andrade.,Add support for a new feature
